id,isbn13,isbn10,full_title,match_source,match_confidence
85883276-80ff-440b-8235-41a27dedf597,9783426662991,342666299X,Spiel der Teufel,openlibrary,1.0
b9bd87c9-1ac2-47f3-97af-76b1628d8509,9783453109865,3453109864,Das Celestine Meditations- Handbuch. Eine Einführung in das Vergnügen der Meditation.,openlibrary,1.0
f7891eaf-55b4-4fcb-8cfa-1c8874632c75,9783548252834,3548255825,Der Tempel,openlibrary,1.0
801368fc-68ec-4c9c-b821-2365c50c7bb9,9783453869882,3453207041,Der Ring des Sarazenen,openlibrary,1.0
bc8ebc76-c037-4231-8510-93856f358665,9783492117142,3492117147,Europa am Ende?,openlibrary,1.0
2005ea08-97b3-4241-af1d-94af3cf08a90,9783551351043,3551580235,Eine Insel im Meer.,openlibrary,1.0
658a19e7-4350-4a55-a3e9-ac475f806c45,9783404154623,3404154622,Die Patin,openlibrary,1.0
79b1d91f-e4af-424c-9961-de09cb57ff53,9798887142821,,Something Like Lust,openlibrary,1.0
28a3cd9c-3c52-405b-a827-e1e4f5eb1f0d,9783426870747,3426077558,Heile dich selbst mit den Bach-Blüten,openlibrary,1.0
77c6abf9-2e81-4d1c-bd94-4cee8c00b909,9781568392271,2859408509,Expedition Kon-Tiki,openlibrary,0.435
f253ecae-6128-479a-84c1-74708796754b,9783442154364,3462036866,Die verlorenen Söhne,openlibrary,0.973
5f620809-20e3-4120-93d4-1f9a8c04e124,9783373000099,3373000092,Roter Schnee,openlibrary,1.0
73a21fd0-2f00-46cf-afdc-cd012363148b,9783442664450,3442664454,Nebel im Fjord der Lachse,openlibrary,0.974
05ac48f9-877a-4c04-8019-fa355f82835d,9783407789839,3407789831,Wie Spucke im Sand,openlibrary,1.0
059c2be7-340e-40a0-a104-91938be7e9c3,9783442461684,3442461685,Liebe über Bord,openlibrary,1.0
8a51663a-9246-469b-afa8-60b98cd3b61b,,,Der Taubenturm,openlibrary,1.0
685fe4ee-df27-4086-9735-284d233ae90e,9783746616902,3352005818,Die Geliebte des Papstes,openlibrary,0.97
a971a195-45b3-41aa-9462-c6efefa17423,9783442351718,3442351715,"Ich, Prinzessin Sultana. Freiheit für mich und meine Schwestern",openlibrary,0.42
89c81aae-c15d-40cb-bbf1-ba56f4baacb1,9783492043625,3492043623,Stumme Schreie,openlibrary,1.0
ed9e54eb-538e-4997-926c-86c4d7b9bdc7,9781466868229,1466868228,Seventh Scroll,openlibrary,1.0
1f890f9e-d172-47fd-86b6-51ad22dacece,9783596512928,9187891239,Imperium,openlibrary,0.983
f1d54023-1c00-4f7d-a5e0-534cd8af8b32,9783596113125,3596113121,Maenner Lassen Lieben,openlibrary,1.0
9b38eed4-b94f-4dc1-acc1-a2e0d94a7dec,9783453001268,3453001265,Mit einem möcht'ich leben,openlibrary,1.0
852b8282-e6e7-42ba-9086-c37b73aad504,9781408185216,9754585725,The Curious Incident of the Dog in the Night-Time,openlibrary,0.985
49bd29ad-d284-4c37-af35-7077046e57ba,9783453006911,3453006917,Die Rache der Pharaonen,openlibrary,1.0
06f86e1e-9c8f-4480-b153-5904f2bbe9fd,9783746617152,3746617154,Letzte Helden,openlibrary,1.0
7cd2e816-cb7b-4942-aacc-655aec84f6cf,9783770157204,3770157206,"DuMont Extra, Barcelona",openlibrary,1.0
2c8ef9b0-66f5-427c-88b7-2782cc6e70c8,9783868000542,3868000542,Die Geigenspielerin,openlibrary,1.0
14f74da9-8f16-4df3-80f2-8a6f94c62853,9783854929543,3453149793,Der Sand der Zeit: Der Magier 3,openlibrary,0.97
6393cab9-89a5-4e89-9222-69467f21e771,,,Die Entfesselung des zweiten Weltkrieges,openlibrary,1.0
9a38ce5d-1e5f-4d98-8d2c-e2b86fc277d0,9783770159727,3770159721,"DuMont Reise-Taschenbücher, Malta",openlibrary,1.0
96841121-50d4-4f8b-92a4-6ff6e3c187a7,9780233976143,074970196X,Comfort herself,openlibrary,0.22
71a272b5-ffeb-43f3-a0e4-6648f8820ac4,9783442438655,3455020593,Traumfrau Mit Nebenwirkungen,openlibrary,0.989
89b6a545-dff1-40bd-998a-fa40154817dd,9783596164738,3596164737,Tianchi,openlibrary,1.0
51799548-93ec-481e-98da-7323915d076d,9783442067664,3570045641,Die Liebenden von Sotschi,openlibrary,0.992
2dcb488a-bf51-4ada-9615-454df8f9077d,9783596113026,3596113024,Butterbrot,openlibrary,1.0
4f3fa978-8e43-4198-8a93-fbf4a8527fc8,9783453877481,3453877489,Pompeji,openlibrary,0.94
060df893-4f5a-4831-a7cb-6731db5c1e23,9783596188673,3596188679,Aus Liebe zum Wahnsinn,openlibrary,1.0
91295ebb-0417-4e65-8f01-77176f066ecb,9783426194058,3426620596,Schwarze Frau vom Nil,openlibrary,1.0
