type,abbr_raw,abbr_norm,full
author,kk.,kk.,kinkel
author,kl.,kl.,kluepfel
author,km.,km.,kaminer
author,kn.,kn.,knopp
author,ko.,ko.,konzelmann
author,kr.,kr.,krakauer
author,ku.,ku.,krueger
author,kw.,kw.,korschunow
author,ky.,ky.,kaye
author,l.,l.,link
author,la.,la.,larsson
author,le.,le.,leon
author,li.,li.,lindgren
author,ln.,ln.,london
author,lo.,lo.,lorentz
author,lu.,lu.,ludlum
author,lw.,lw.,lawhead
author,m.,m.,murakami
author,ma.,ma.,may
author,mai.,mai.,mailer
author,mc.,mc.,maclean
author,mcc.,mcc.,mccullough
author,md.,md.,meade
author,me.,me.,mehnert
author,mei.,mei.,Messadie
author,mes.,mes.,messner
author,mh.,mh.,mehari
author,mi.,mi.,michener
author,mm.,mm.,mahmoody
author,mn.,mn.,mann
author,mo.,mo.,moravia
author,moo.,moo.,moore
author,mr.,mr.,merkle riley
author,mrs.,mrs.,morris
author,mrt.,mrt.,martin
author,ms.,ms.,mason
author,msi.,msi.,massie
author,msn.,msn.,meissner
author,mt.,mt.,matthiesen
author,mu.,mu.,mueller
author,mx.,mx.,maddox roberts
author,my.,my.,meyer
author,n.,n.,neuhaus
author,nm.,nm.,norman
author,no.,no.,noll
author,o.,o.,ogger
author,ol.,ol.,olsen
author,or.,or.,orwell
author,p.,p.,puzo
author,pa.,pa.,patterson
author,pe.,pe.,peinkofer
author,pi.,pi.,paretti
author,pl.,pl.,palmer
author,po.,po.,peterson
author,pr.,pr.,preston
author,ps.,ps.,pearson
author,pt.,pt.,peters
author,pu.,pu.,pullman
author,pz.,pz.,perez-reverte
author,r.,r.,robbins
author,rc.,rc.,roche
author,rg.,rg.,"ranke graves, von"
author,rh.,rh.,roth
author,ri.,ri.,rice
author,rm.,rm.,remarque
author,ro.,ro.,roberts
author,rs.,rs.,reichs
author,rt.,rt.,roth
author,ru.,ru.,rhue
author,rw.,rw.,rowling
author,s.,s.,steel
author,sa.,sa.,shaw
author,sc.,sc.,schacht
author,scr.,scr.,schroeder
author,scw.,scw.,scarrow
author,se.,se.,serno
author,sh.,sh.,schaetzing
author,si.,si.,schiller
author,sl.,sl.,scholl-latour
author,sm.,sm.,smith
author,sn.,sn.,schneider
author,so.,so.,sheldon
author,sp.,sp.,spoerl
author,sr.,sr.,stewart
author,st.,st.,stevenson
author,ste.,ste.,stern
author,stn.,stn.,steiner
author,sto.,sto.,stone
author,str.,str.,storm
author,su.,su.,sueskindtorm
author,sv.,sv.,savage
author,sw.,sw.,schweikert
author,swa.,swa.,swann
author,sy.,sy.,suyin
author,sz.,sz.,solschenizyn
author,t.,t.,tan
author,th.,th.,thorwald
author,tl.,tl.,tolkien
author,tn.,tn.,turner
author,to.,to.,thomas
author,tr.,tr.,tremayne
author,tu.,tu.,turow
author,u.,u.,unbekannt
author,ur.,ur.,uris
author,v.,v.,vandenberg
author,ve.,ve.,verne
author,vf.,vf.,vazquez-figueroa
author,w.,w.,west
author,wa.,wa.,wallraff
author,wb.,wb.,weisberger
author,wc.,wc.,wallace
author,wf.,wf.,wolf
author,wg.,wg.,wohlgethan
author,wi.,wi.,wickert
author,wh.,wh.,white
author,wl.,wl.,waltari
author,wn.,wn.,weigand
author,wo.,wo.,wood
author,wt.,wt.,walters
author,wu.,wu.,wouk
author,y.,y.,yerby
author,ya.,ya.,yan
author,yo.,yo.,young
author,z.,z.,zimmer-bradley
author,zw.,zw.,zweig
